customerId,recommendedProducts
4,226|247|230|248|83|294|125|204|284|213
11,226|247|230|248|83|294|125|284|204|165
12,226|247|230|248|83|294|125|204|284|213
16,226|247|230|248|83|294|125|204|284|213
21,226|247|230|248|83|294|125|213|204|284
32,226|247|230|248|83|294|125|213|204|284
121,226|247|230|248|83|294|125|284|213|204
122,226|247|230|248|83|294|125|213|204|284
123,226|247|230|248|83|294|125|213|284|204
137,226|247|230|248|83|294|125|204|284|213
141,226|247|230|248|83|294|125|284|204|213
152,226|247|230|248|83|294|125|213|284|204
164,226|247|230|248|83|294|125|204|284|213
171,226|247|230|248|83|294|125|213|204|284
182,226|247|230|248|83|294|125|204|284|213
212,226|247|230|248|83|294|125|284|204|213
218,226|247|230|248|83|294|125|213|204|284
247,226|247|230|248|83|294|125|284|204|213
250,226|247|230|248|83|294|125|284|213|204
255,226|247|230|248|83|294|125|204|213|284
261,226|247|230|248|83|294|125|204|213|284
263,226|247|230|248|83|294|125|204|213|284
305,226|247|230|248|83|294|125|284|204|213
320,226|247|230|248|83|294|125|204|213|284
321,226|247|230|248|83|294|125|204|284|213
326,226|247|230|248|83|294|125|213|284|204
339,226|247|230|248|83|294|125|213|204|284
368,226|247|230|248|83|294|125|204|284|213
418,226|247|230|248|83|294|125|213|204|284
447,226|247|230|248|83|294|125|204|213|284
450,226|247|230|248|83|294|125|204|284|213
459,226|247|230|248|83|294|213|204|284|72
462,226|247|230|248|83|294|125|213|204|284
482,226|247|230|248|83|294|125|213|204|284
539,226|247|230|248|83|294|125|204|284|213
543,226|247|230|248|83|294|125|284|204|213
548,226|247|230|248|83|294|125|204|284|213
572,226|247|230|248|83|294|125|204|284|213
594,226|247|230|248|83|294|125|284|213|204
595,226|247|230|248|83|294|125|204|213|284
625,226|247|230|248|83|294|125|284|213|204
654,226|247|230|248|83|294|125|204|213|284
659,226|247|230|248|83|294|125|204|284|213
661,226|247|230|248|83|294|125|204|284|213
665,226|247|230|248|83|294|125|213|204|284
667,226|247|230|83|248|294|125|204|213|284
677,226|247|230|248|83|294|125|204|213|284
690,226|247|230|248|83|294|125|204|284|213
706,226|247|230|248|83|294|125|213|204|284
708,226|247|230|248|83|294|125|204|213|284
718,226|247|230|248|83|294|125|204|213|284
731,226|247|230|248|83|294|125|204|284|213
745,226|247|230|248|83|294|125|204|213|284
788,226|247|230|248|83|294|125|213|204|284
806,226|247|230|248|83|294|125|213|204|284
821,226|247|230|248|83|294|125|284|213|204
837,226|247|230|248|83|294|125|204|213|165
858,226|247|230|248|83|294|125|204|284|213
861,226|247|230|248|83|294|125|204|284|213
862,226|247|230|248|83|294|125|213|284|204
863,226|247|230|248|83|294|125|284|213|204
866,226|247|230|248|83|294|125|213|204|284
884,226|247|230|248|83|294|125|284|213|165
946,226|247|230|248|83|294|125|204|213|284
1037,226|247|230|248|83|294|125|213|284|204
1042,226|247|230|248|83|294|125|204|213|165
1043,226|247|230|248|83|294|125|213|204|284
1057,226|247|230|248|83|294|125|213|284|204
1073,226|247|230|248|83|294|125|213|204|284
1085,226|247|230|248|83|294|125|204|284|213
1090,226|247|230|248|83|294|125|213|284|204
1091,226|247|248|83|294|125|204|213|284|72
1093,226|247|230|248|83|294|125|213|284|204
1111,226|247|230|248|83|294|125|213|284|204
1127,247|230|248|83|294|125|204|284|213|165
1130,226|247|230|248|83|294|125|204|213|284
1137,226|247|230|248|83|294|125|284|204|213
1139,226|247|230|248|83|294|125|284|213|204
1143,226|247|230|248|83|294|125|213|204|284
1149,226|247|230|248|83|294|125|204|284|213
1156,226|247|230|248|83|294|125|213|284|204
1175,226|247|230|248|83|294|125|204|213|284
1178,226|247|230|248|83|294|125|204|284|213
1182,226|247|230|248|83|294|125|204|213|284
1223,226|247|230|248|83|294|125|204|213|284
1245,226|247|230|248|83|294|125|204|284|213
1267,226|247|230|248|83|125|204|284|213|165
1270,226|247|230|248|83|294|125|284|204|213
